"id","created_at","updated_at","reference","location","country","latitude","longitude","wiki_url","name"
39,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","zandvoort","Zandvoort","Netherlands",52,5,"http://en.wikipedia.org/wiki/Circuit_Zandvoort","Circuit Park Zandvoort"
40,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","zolder","Heusden-Zolder","Belgium",51,5,"http://en.wikipedia.org/wiki/Zolder","Zolder"
41,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","dijon","Dijon","France",47,5,"http://en.wikipedia.org/wiki/Dijon-Prenois","Dijon-Prenois"
42,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","dallas","Dallas","USA",33,-97,"http://en.wikipedia.org/wiki/Fair_Park","Fair Park"
43,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","long_beach","California","USA",34,-118,"http://en.wikipedia.org/wiki/Long_Beach,_California","Long Beach"
44,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","las_vegas","Nevada","USA",36,-115,"http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit","Las Vegas Street Circuit"
45,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","jarama","Madrid","Spain",41,-4,"http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama","Jarama"
46,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","watkins_glen","New York State","USA",42,-77,"http://en.wikipedia.org/wiki/Watkins_Glen_International","Watkins Glen"
47,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","anderstorp","Anderstorp","Sweden",57,14,"http://en.wikipedia.org/wiki/Scandinavian_Raceway","Scandinavian Raceway"
48,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","mosport","Ontario","Canada",44,-79,"http://en.wikipedia.org/wiki/Mosport","Mosport International Raceway"
49,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","montjuic","Barcelona","Spain",41,2,"http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit","Montjuïc"
50,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","nivelles","Brussels","Belgium",51,4,"http://en.wikipedia.org/wiki/Nivelles-Baulers","Nivelles-Baulers"
51,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","charade","Clermont-Ferrand","France",46,3,"http://en.wikipedia.org/wiki/Charade_Circuit","Charade Circuit"
52,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","tremblant","Quebec","Canada",46,-75,"http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant","Circuit Mont-Tremblant"
53,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","essarts","Rouen","France",49,1,"http://en.wikipedia.org/wiki/Rouen-Les-Essarts","Rouen-Les-Essarts"
54,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","lemans","Le Mans","France",48,0,"http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit","Le Mans"
55,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","reims","Reims","France",49,4,"http://en.wikipedia.org/wiki/Reims-Gueux","Reims-Gueux"
56,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","george","Eastern Cape Province","South Africa",-33,28,"http://en.wikipedia.org/wiki/Prince_George_Circuit","Prince George Circuit"
57,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","zeltweg","Styria","Austria",47,15,"http://en.wikipedia.org/wiki/Zeltweg_Airfield","Zeltweg"
58,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","aintree","Liverpool","UK",53,-3,"http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit","Aintree"
59,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","boavista","Oporto","Portugal",41,-9,"http://en.wikipedia.org/wiki/Circuito_da_Boavista","Circuito da Boavista"
60,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","riverside","California","USA",34,-117,"http://en.wikipedia.org/wiki/Riverside_International_Raceway","Riverside International Raceway"
61,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","avus","Berlin","Germany",52,13,"http://en.wikipedia.org/wiki/AVUS","AVUS"
62,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","monsanto","Lisbon","Portugal",39,-9,"http://en.wikipedia.org/wiki/Monsanto_Park_Circuit","Monsanto Park Circuit"
63,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","sebring","Florida","USA",27,-81,"http://en.wikipedia.org/wiki/Sebring_Raceway","Sebring International Raceway"
64,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","ain-diab","Casablanca","Morocco",34,-8,"http://en.wikipedia.org/wiki/Ain-Diab_Circuit","Ain Diab"
65,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","pescara","Pescara","Italy",42,14,"http://en.wikipedia.org/wiki/Pescara_Circuit","Pescara Circuit"
66,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","bremgarten","Bern","Switzerland",47,7,"http://en.wikipedia.org/wiki/Circuit_Bremgarten","Circuit Bremgarten"
67,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","pedralbes","Barcelona","Spain",41,2,"http://en.wikipedia.org/wiki/Pedralbes_Circuit","Circuit de Pedralbes"
68,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","buddh","Uttar Pradesh","India",28,78,"http://en.wikipedia.org/wiki/Buddh_International_Circuit","Buddh International Circuit"
69,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","americas","Austin","USA",30,-98,"http://en.wikipedia.org/wiki/Circuit_of_the_Americas","Circuit of the Americas"
70,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","red_bull_ring","Spielberg","Austria",47,15,"http://en.wikipedia.org/wiki/Red_Bull_Ring","Red Bull Ring"
71,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","sochi","Sochi","Russia",43,40,"http://en.wikipedia.org/wiki/Sochi_Autodrom","Sochi Autodrom"
73,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","baku","Baku","Azerbaijan",40,50,"http://en.wikipedia.org/wiki/Baku_City_Circuit","Baku City Circuit"
75,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","portimao","Portimão","Portugal",37,-9,"http://en.wikipedia.org/wiki/Algarve_International_Circuit","Autódromo Internacional do Algarve"
76,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","mugello","Mugello","Italy",44,11,"http://en.wikipedia.org/wiki/Mugello_Circuit","Autodromo Internazionale del Mugello"
77,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","jeddah","Jeddah","Saudi Arabia",22,39,"http://en.wikipedia.org/wiki/Jeddah_Street_Circuit","Jeddah Corniche Circuit"
78,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","losail","Al Daayen","Qatar",25,51,"http://en.wikipedia.org/wiki/Losail_International_Circuit","Losail International Circuit"
79,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","miami","Miami","USA",26,-80,"http://en.wikipedia.org/wiki/Miami_International_Autodrome","Miami International Autodrome"
