"id","created_at","updated_at","name","reference","nationality","wiki_url"
44,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Euro Brun","eurobrun","Italian","http://en.wikipedia.org/wiki/Euro_Brun"
45,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Osella","osella","Italian","http://en.wikipedia.org/wiki/Osella"
46,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Onyx","onyx","British","http://en.wikipedia.org/wiki/Onyx_(racing_team)"
47,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Life","life","Italian","http://en.wikipedia.org/wiki/Life_(Racing_Team)"
48,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Rial","rial","German","http://en.wikipedia.org/wiki/Rial_%28racing_team%29"
49,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Zakspeed","zakspeed","German","http://en.wikipedia.org/wiki/Zakspeed"
50,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","RAM","ram","British","http://en.wikipedia.org/wiki/RAM_Racing"
51,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Alfa Romeo","alfa","Swiss","http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One"
52,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Spirit","spirit","British","http://en.wikipedia.org/wiki/Spirit_(racing_team)"
53,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Toleman","toleman","British","http://en.wikipedia.org/wiki/Toleman"
54,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","ATS","ats","Italian","http://en.wikipedia.org/wiki/ATS_(wheels)"
55,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Theodore","theodore","Hong Kong","http://en.wikipedia.org/wiki/Theodore_Racing"
56,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Fittipaldi","fittipaldi","Brazilian","http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29"
57,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Ensign","ensign","British","http://en.wikipedia.org/wiki/Ensign_%28racing_team%29"
58,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Shadow","shadow","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars"
59,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Wolf","wolf","Canadian","http://en.wikipedia.org/wiki/Walter_Wolf_Racing"
60,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Merzario","merzario","Italian","http://en.wikipedia.org/wiki/Merzario"
61,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Kauhsen","kauhsen","German","http://en.wikipedia.org/wiki/Kauhsen"
