"id","created_at","updated_at","year","wiki_url"
49,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","1998","http://en.wikipedia.org/wiki/1998_Formula_One_season"
50,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","1999","http://en.wikipedia.org/wiki/1999_Formula_One_season"
51,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2000","http://en.wikipedia.org/wiki/2000_Formula_One_season"
52,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2001","http://en.wikipedia.org/wiki/2001_Formula_One_season"
53,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2002","http://en.wikipedia.org/wiki/2002_Formula_One_season"
54,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2003","http://en.wikipedia.org/wiki/2003_Formula_One_season"
55,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2004","http://en.wikipedia.org/wiki/2004_Formula_One_season"
56,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2005","http://en.wikipedia.org/wiki/2005_Formula_One_season"
57,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2006","http://en.wikipedia.org/wiki/2006_Formula_One_season"
58,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2007","http://en.wikipedia.org/wiki/2007_Formula_One_season"
59,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2008","http://en.wikipedia.org/wiki/2008_Formula_One_season"
60,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2009","http://en.wikipedia.org/wiki/2009_Formula_One_season"
61,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2010","http://en.wikipedia.org/wiki/2010_Formula_One_season"
62,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2011","http://en.wikipedia.org/wiki/2011_Formula_One_season"
63,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2012","http://en.wikipedia.org/wiki/2012_Formula_One_season"
64,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2013","http://en.wikipedia.org/wiki/2013_Formula_One_season"
65,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2014","http://en.wikipedia.org/wiki/2014_Formula_One_season"
66,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2015","http://en.wikipedia.org/wiki/2015_Formula_One_season"
67,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2016","http://en.wikipedia.org/wiki/2016_Formula_One_season"
68,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2017","http://en.wikipedia.org/wiki/2017_Formula_One_season"
69,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2018","http://en.wikipedia.org/wiki/2018_Formula_One_World_Championship"
70,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2019","http://en.wikipedia.org/wiki/2019_Formula_One_World_Championship"
71,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2020","http://en.wikipedia.org/wiki/2020_Formula_One_World_Championship"
72,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2021","http://en.wikipedia.org/wiki/2021_Formula_One_World_Championship"
73,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2022","http://en.wikipedia.org/wiki/2022_Formula_One_World_Championship"
74,"2023-10-19 19:48:19.398707","2023-10-19 19:48:19.398707","2023","https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship"
